step,timestamp,bandwidth_kbps_raw,bandwidth_bps,bandwidth_mbps
0,2018.01.19_07.31.51,21842.0,21842000.0,21.842
1,2018.01.19_07.31.52,20410.0,20410000.0,20.41
2,2018.01.19_07.31.53,28485.0,28485000.0,28.485
3,2018.01.19_07.31.54,14136.0,14136000.0,14.136
4,2018.01.19_07.31.56,15892.0,15892000.0,15.892
5,2018.01.19_07.31.57,10893.0,10893000.0,10.893
6,2018.01.19_07.31.58,10300.0,10300000.0,10.3
7,2018.01.19_07.31.59,12716.0,12716000.0,12.716
8,2018.01.19_07.32.00,17570.0,17570000.0,17.57
9,2018.01.19_07.32.01,22960.0,22960000.0,22.96
10,2018.01.19_07.32.02,31706.0,31706000.0,31.706
11,2018.01.19_07.32.03,25219.0,25219000.0,25.219
12,2018.01.19_07.32.04,26349.0,26349000.0,26.349
13,2018.01.19_07.32.06,30565.0,30565000.0,30.565
14,2018.01.19_07.32.07,35005.0,35005000.0,35.005
15,2018.01.19_07.32.08,33540.0,33540000.0,33.54
16,2018.01.19_07.32.09,30588.0,30588000.0,30.588
17,2018.01.19_07.32.10,11083.0,11083000.0,11.083
18,2018.01.19_07.32.11,8555.0,8555000.0,8.555
19,2018.01.19_07.32.12,10635.0,10635000.0,10.635
20,2018.01.19_07.32.13,19348.0,19348000.0,19.348
21,2018.01.19_07.32.14,24504.0,24504000.0,24.504
22,2018.01.19_07.32.15,33876.0,33876000.0,33.876
23,2018.01.19_07.32.17,41190.0,41190000.0,41.19
24,2018.01.19_07.32.18,35442.0,35442000.0,35.442
25,2018.01.19_07.32.19,30968.0,30968000.0,30.968
26,2018.01.19_07.32.20,32154.0,32154000.0,32.154
27,2018.01.19_07.32.21,31896.0,31896000.0,31.896
28,2018.01.19_07.32.22,11732.0,11732000.0,11.732
29,2018.01.19_07.32.23,10904.0,10904000.0,10.904
30,2018.01.19_07.32.24,7593.0,7593000.0,7.593
31,2018.01.19_07.32.25,9841.0,9841000.0,9.841
32,2018.01.19_07.32.27,16966.0,16966000.0,16.966
33,2018.01.19_07.32.28,32299.0,32299000.0,32.299
34,2018.01.19_07.32.29,26192.0,26192000.0,26.192
35,2018.01.19_07.32.30,34424.0,34424000.0,34.424
36,2018.01.19_07.32.31,35106.0,35106000.0,35.106
37,2018.01.19_07.32.32,33026.0,33026000.0,33.026
38,2018.01.19_07.32.33,14796.0,14796000.0,14.796
39,2018.01.19_07.32.34,12157.0,12157000.0,12.157
40,2018.01.19_07.32.35,21025.0,21025000.0,21.025
41,2018.01.19_07.32.37,27132.0,27132000.0,27.132
42,2018.01.19_07.32.38,35050.0,35050000.0,35.05
43,2018.01.19_07.32.39,34580.0,34580000.0,34.58
44,2018.01.19_07.32.40,33265.0,33265000.0,33.265
45,2018.01.19_07.32.41,35777.0,35777000.0,35.777
46,2018.01.19_07.32.42,35543.0,35543000.0,35.543
47,2018.01.19_07.32.43,24448.0,24448000.0,24.448
48,2018.01.19_07.32.44,10993.0,10993000.0,10.993
49,2018.01.19_07.32.45,22871.0,22871000.0,22.871
50,2018.01.19_07.32.46,33429.0,33429000.0,33.429
51,2018.01.19_07.32.48,41951.0,41951000.0,41.951
52,2018.01.19_07.32.49,47945.0,47945000.0,47.945
53,2018.01.19_07.32.50,51647.0,51647000.0,51.647
54,2018.01.19_07.32.51,46805.0,46805000.0,46.805
55,2018.01.19_07.32.52,48762.0,48762000.0,48.762
56,2018.01.19_07.32.53,30901.0,30901000.0,30.901
57,2018.01.19_07.32.54,19303.0,19303000.0,19.303
58,2018.01.19_07.32.55,33518.0,33518000.0,33.518
59,2018.01.19_07.32.56,44702.0,44702000.0,44.702
60,2018.01.19_07.32.57,45675.0,45675000.0,45.675
61,2018.01.19_07.32.59,44467.0,44467000.0,44.467
62,2018.01.19_07.33.00,47453.0,47453000.0,47.453
63,2018.01.19_07.33.01,52307.0,52307000.0,52.307
64,2018.01.19_07.33.02,43170.0,43170000.0,43.17
65,2018.01.19_07.33.03,43237.0,43237000.0,43.237
66,2018.01.19_07.33.04,26137.0,26137000.0,26.137
67,2018.01.19_07.33.05,27669.0,27669000.0,27.669
68,2018.01.19_07.33.06,39457.0,39457000.0,39.457
69,2018.01.19_07.33.07,29067.0,29067000.0,29.067
70,2018.01.19_07.33.08,37197.0,37197000.0,37.197
71,2018.01.19_07.33.09,23106.0,23106000.0,23.106
72,2018.01.19_07.33.11,27557.0,27557000.0,27.557
73,2018.01.19_07.33.12,31427.0,31427000.0,31.427
74,2018.01.19_07.33.13,33149.0,33149000.0,33.149
75,2018.01.19_07.33.14,27904.0,27904000.0,27.904
76,2018.01.19_07.33.15,18696.0,18696000.0,18.696
77,2018.01.19_07.33.16,17983.0,17983000.0,17.983
78,2018.01.19_07.33.17,17793.0,17793000.0,17.793
79,2018.01.19_07.33.18,22625.0,22625000.0,22.625
80,2018.01.19_07.33.19,19057.0,19057000.0,19.057
81,2018.01.19_07.33.21,26450.0,26450000.0,26.45
82,2018.01.19_07.33.22,26371.0,26371000.0,26.371
83,2018.01.19_07.33.23,18174.0,18174000.0,18.174
84,2018.01.19_07.33.24,15970.0,15970000.0,15.97
85,2018.01.19_07.33.25,11184.0,11184000.0,11.184
86,2018.01.19_07.33.26,13801.0,13801000.0,13.801
87,2018.01.19_07.33.27,14561.0,14561000.0,14.561
88,2018.01.19_07.33.28,15802.0,15802000.0,15.802
89,2018.01.19_07.33.29,24660.0,24660000.0,24.66
90,2018.01.19_07.33.31,18017.0,18017000.0,18.017
91,2018.01.19_07.33.32,24012.0,24012000.0,24.012
92,2018.01.19_07.33.33,20008.0,20008000.0,20.008
93,2018.01.19_07.33.34,19941.0,19941000.0,19.941
94,2018.01.19_07.33.35,9282.0,9282000.0,9.282
95,2018.01.19_07.33.36,9036.0,9036000.0,9.036
96,2018.01.19_07.33.37,12045.0,12045000.0,12.045
97,2018.01.19_07.33.38,11888.0,11888000.0,11.888
98,2018.01.19_07.33.40,8566.0,8566000.0,8.566
99,2018.01.19_07.33.41,20500.0,20500000.0,20.5
100,2018.01.19_07.33.42,15366.0,15366000.0,15.366
101,2018.01.19_07.33.43,9987.0,9987000.0,9.987
102,2018.01.19_07.33.44,9338.0,9338000.0,9.338
103,2018.01.19_07.33.45,6352.0,6352000.0,6.352
104,2018.01.19_07.33.46,8466.0,8466000.0,8.466
105,2018.01.19_07.33.47,7549.0,7549000.0,7.549
106,2018.01.19_07.33.49,17223.0,17223000.0,17.223
107,2018.01.19_07.33.50,12816.0,12816000.0,12.816
108,2018.01.19_07.33.51,16541.0,16541000.0,16.541
109,2018.01.19_07.33.52,22267.0,22267000.0,22.267
110,2018.01.19_07.33.53,20600.0,20600000.0,20.6
